variant,subnode,route_px,stretch_vs_full
funneling,room_9_subnode_2,540.8916407360224,1.0
funneling,room_10_subnode_1,560.3105620480735,1.0
funneling,room_10_subnode_2,685.4631667380257,1.0122494339883426
funneling,room_11_subnode_1,767.9433825886609,1.0123590507879983
funneling,room_11_subnode_2,640.9259560803033,1.0
funneling,room_12_subnode_1,661.169374447075,1.0
funneling,room_12_subnode_2,788.1774680136654,1.0124679088997608
funneling,room_13_subnode_1,544.4934257618313,1.0116403302630046
funneling,room_13_subnode_2,480.93721245645435,1.0
funneling,room_13_subnode_3,527.3943572920404,1.0075713821387091
funneling,room_13_subnode_4,534.472247713751,1.0389492973314483
funneling,room_13_subnode_5,533.4157795100621,1.0000386202911244
funneling,room_14_subnode_1,890.0761192168553,1.0129645861868128
funneling,room_14_subnode_2,761.2773750415862,1.0
funneling,room_15_subnode_1,780.3544749565132,1.0
funneling,room_15_subnode_2,909.2992772311514,1.012697356605691
funneling,room_16_subnode_1,1057.1761863461147,1.120254888592256
funneling,room_16_subnode_2,997.1534282860954,1.2079005378828571
funneling,room_16_subnode_3,772.1327770607112,1.0
funneling,room_16_subnode_4,1000.7403821080251,1.0930638293756063
funneling,room_16_subnode_5,937.6135256996785,1.0977395857378651
funneling,room_16_subnode_6,825.9565636239028,1.036368280665513
funneling,room_16_subnode_7,1070.2044006990934,1.1230895557477218
funneling,room_16_subnode_8,1012.2044006990935,1.1253647969278582
funneling,room_16_subnode_9,885.9898877031172,1.0441806482696454
funneling,room_16_subnode_10,871.6825446699185,1.0754156198313378
funneling,room_16_subnode_11,931.0963477799702,1.0926076568339056
funneling,room_16_subnode_12,996.1655417199601,1.100403117205454
funneling,room_16_subnode_13,1056.2987272334515,1.1008828391912688
funneling,room_16_subnode_14,1012.4953681939656,1.0573740538752965
funneling,room_16_subnode_15,950.4873042022556,1.0445504161364916
funneling,room_16_subnode_16,888.4873042022556,1.015491164687507
funneling,room_16_subnode_17,858.2535918460309,1.0025181750352314
funneling,room_16_subnode_18,919.4581668384284,1.0499148427225347
funneling,room_16_subnode_19,981.5307050497823,1.0737079103959737
funneling,room_16_subnode_20,1040.5645936223639,1.0864146553891383
funneling,room_17_subnode_1,976.6235811850801,1.0091312790838234
funneling,room_17_subnode_2,850.2878616870936,1.0
funneling,room_18_subnode_1,879.9512634314108,1.0
funneling,room_18_subnode_2,1006.1850554959169,1.0091497756175445
funneling,room_19_subnode_1,672.5677093647431,1.0
funneling,room_19_subnode_2,787.7579476620185,1.0004827151728741
funneling,room_20_subnode_1,967.9401249859678,1.0
funneling,room_20_subnode_2,1093.2193791987447,1.007436752151753
funneling,room_21_subnode_1,1075.0238779001588,1.0075047721447263
funneling,room_21_subnode_2,949.809222024236,1.0
funneling,room_22_subnode_1,776.6958691587132,1.0
funneling,room_22_subnode_2,891.5655426449802,1.0010016973427194
funneling,room_23_subnode_1,1215.4592625353798,1.0
funneling,room_23_subnode_2,1103.0589079265656,1.0
funneling,room_23_subnode_3,1159.0589079265656,1.0
funneling,room_23_subnode_4,1333.2510616415339,1.0
funneling,room_23_subnode_5,1161.239660757721,1.0
funneling,room_23_subnode_6,1222.0271538922902,1.0
funneling,room_23_subnode_7,1273.242728886824,1.0
funneling,room_23_subnode_8,1220.7795633441378,1.0
funneling,room_23_subnode_9,1177.7507186548705,1.0
funneling,room_23_subnode_10,1282.9287138066306,1.0
funneling,room_23_subnode_11,1324.242728886824,1.0
funneling,room_23_subnode_12,1115.5815944853923,1.0
funneling,room_24_subnode_1,1094.7419757159525,1.0
funneling,room_24_subnode_2,1177.6083187609736,1.020850012013582
funneling,room_26_subnode_1,885.2711180793966,1.0
funneling,room_26_subnode_2,1001.5482401422088,1.001712408372059
funneling,room_27_subnode_1,986.2160094374575,1.0
funneling,room_27_subnode_2,1102.6903961073813,1.0020444252969012
funneling,room_29_subnode_1,1556.6356194726604,1.0065679680158008
funneling,room_29_subnode_2,1536.304173977891,1.0051127195412053
funneling,room_29_subnode_3,1594.725060653805,1.0474667657264825
funneling,room_29_subnode_4,1536.997262705699,1.0340671703865147
funneling,room_29_subnode_5,1486.8529276531292,1.0128762108926637
funneling,room_29_subnode_6,1592.800488418914,1.0730197816771938
funneling,room_29_subnode_7,1591.705580172059,1.111439544977025
funneling,room_29_subnode_8,1429.3985979642364,1.0
funneling,room_30_subnode_1,1711.702570022827,1.0000962722168982
funneling,room_30_subnode_2,1608.9741107905268,1.0
funneling,room_31_subnode_1,1814.6491679935539,1.0010653190313983
funneling,room_31_subnode_2,1711.3741776727366,1.0
funneling,room_32_subnode_1,1803.0568345517913,1.000097269041063
funneling,room_32_subnode_2,1702.0272886547768,1.0
funneling,room_33_subnode_1,1238.0874041912716,1.0
funneling,room_33_subnode_2,1298.2689399325595,1.0246334124715046
funneling,room_33_subnode_3,1330.129697587999,1.0066505888192745
funneling,room_34_subnode_1,1267.273954619283,1.0
funneling,room_34_subnode_2,1377.2434613545308,1.0000054000571033
one-per-room,room_1_subnode_1,976.3948764854365,1.0144053092583438
one-per-room,room_1_subnode_2,917.0807330656309,1.0091719268560062
one-per-room,room_1_subnode_3,859.5450790040701,1.0056324332095659
one-per-room,room_1_subnode_4,806.5444550112309,1.000209393419272
one-per-room,room_1_subnode_5,779.0741927683756,1.0187545844884918
one-per-room,room_1_subnode_6,818.7506943533458,1.1102427813721294
one-per-room,room_1_subnode_7,868.5174361622991,1.1978906073203186
one-per-room,room_1_subnode_8,926.270251740071,1.26591705849243
one-per-room,room_1_subnode_9,945.0981049487895,1.0276314508944695
one-per-room,room_1_subnode_10,882.4666357587923,1.0278515206854815
one-per-room,room_1_subnode_11,825.0402124525809,1.0198237797842176
one-per-room,room_1_subnode_12,831.2267954863729,1.2271973905405291
one-per-room,room_1_subnode_13,892.9887596077808,1.3194878923346713
one-per-room,room_1_subnode_14,956.0525114482235,1.358900563554306
one-per-room,room_1_subnode_15,980.3540147430163,1.0471048013319166
one-per-room,room_1_subnode_16,923.7459310610183,1.0504394510602308
one-per-room,room_1_subnode_17,816.9248318605578,1.0744556202795532
one-per-room,room_1_subnode_18,830.5671487055977,1.2851105584125266
one-per-room,room_1_subnode_19,879.7119510294679,1.4147053854376943
one-per-room,room_1_subnode_20,930.7107846184999,1.4581995117618098
one-per-room,room_1_subnode_21,927.7919275336405,1.5623758166904917
one-per-room,room_1_subnode_22,979.6959068489157,1.4960847545432847
one-per-room,room_2_subnode_1,524.6820063559086,1.1937232484588565
one-per-room,room_2_subnode_2,515.6743507908443,1.0367408618071634
one-per-room,room_3_subnode_1,980.034913924624,1.048896705487912
one-per-room,room_3_subnode_2,954.0597753794088,1.007566214352468
one-per-room,room_3_subnode_3,977.9016106892975,1.0010495772494492
one-per-room,room_3_subnode_4,1025.4667377152348,1.0100709598271607
one-per-room,room_3_subnode_5,978.5004691280005,1.1152496097249147
one-per-room,room_3_subnode_6,926.3047977205415,1.0384893965729585
one-per-room,room_3_subnode_7,979.8118305472024,1.0213941593449145
one-per-room,room_3_subnode_8,1011.0457383905081,1.2381162622650523
one-per-room,room_3_subnode_9,955.1115186275259,1.1448185929068093
one-per-room,room_3_subnode_10,920.091918386295,1.0661149347441672
one-per-room,room_3_subnode_11,963.69320905464,1.0649953558749128
one-per-room,room_3_subnode_12,1011.5203696548169,1.0642413573877474
one-per-room,room_3_subnode_13,1009.0460070993583,1.3004121520061982
one-per-room,room_3_subnode_14,976.9170487371838,1.2143242698747665
one-per-room,room_3_subnode_15,978.8534849398085,1.1527362398490109
one-per-room,room_3_subnode_16,1009.7833293443276,1.1204386844596679
one-per-room,room_3_subnode_17,1075.2405900839171,1.5076088911630814
one-per-room,room_3_subnode_18,1034.043177290084,1.383401439499986
one-per-room,room_3_subnode_19,1029.0330253572324,1.2922860241057457
one-per-room,room_3_subnode_20,1041.0000647103157,1.2109951509373449
one-per-room,room_4_subnode_1,531.0270575645961,1.3410936066468049
one-per-room,room_4_subnode_2,520.7838871516996,1.0155229244807995
one-per-room,room_5_subnode_1,1117.0038828350266,1.002383916381594
one-per-room,room_5_subnode_2,1081.320606601508,1.0005384799859358
one-per-room,room_5_subnode_3,1057.342205425881,1.011564154044355
one-per-room,room_5_subnode_4,1069.483152686912,1.0451521693070833
one-per-room,room_5_subnode_5,1105.8319762036822,1.092243926516425
one-per-room,room_5_subnode_6,1065.5390413104612,1.0050456942817567
one-per-room,room_5_subnode_7,1024.4466909481189,1.000063385742108
one-per-room,room_5_subnode_8,1013.6300601676818,1.0226762315208442
one-per-room,room_5_subnode_9,1051.3843257345013,1.084703543483818
one-per-room,room_5_subnode_10,1080.4928469057704,1.0289040178963054
one-per-room,room_5_subnode_11,1018.5637540386175,1.0171100925740608
one-per-room,room_5_subnode_12,1002.5587565946058,1.0765109306416996
one-per-room,room_5_subnode_13,1064.542556704315,1.1620476453340491
one-per-room,room_5_subnode_14,1056.525426568604,1.0661174864793506
one-per-room,room_5_subnode_15,1009.9731104545615,1.070146555463266
one-per-room,room_5_subnode_16,999.2709309386414,1.1043316334765834
one-per-room,room_5_subnode_17,1045.82548998087,1.2056916548497405
one-per-room,room_5_subnode_18,1114.6099463504283,1.1180432935485412
one-per-room,room_5_subnode_19,1068.2976337759405,1.1394095252872354
one-per-room,room_5_subnode_20,1046.1752211213452,1.1792689754473942
one-per-room,room_5_subnode_21,1064.5691256720304,1.2639314096133407
one-per-room,room_5_subnode_22,1101.7504523633932,1.3617154692030478
one-per-room,room_5_subnode_23,1132.1096067105832,1.1864296365597125
one-per-room,room_5_subnode_24,1102.3820002343655,1.2306032188861589
one-per-room,room_5_subnode_25,1105.2732096710345,1.3221123277088735
