floor,src,dst,d_graph_px,d_geo_full_px,d_geo_interior_px,d_euclid_px,stretch_full,stretch_interior,geo_over_euclid
FF part 1upE,room_19,exit_door_1,2903.670104037877,2851.577777210915,2851.577777210915,1625.021999851079,1.018267896195317,1.018267896195317,1.7547933366269752
FF part 1upE,room_19,exit_door_2,721.421683070168,670.568542494924,670.568542494924,353.70114503631453,1.0758358577126796,1.0758358577126796,1.8958619498562175
FF part 1upE,room_20,exit_door_1,1037.8569370560792,992.5340546095175,992.5340546095175,753.8706785649645,1.0456638059279413,1.0456638059279413,1.3165839749847577
FF part 1upE,room_20,exit_door_2,2604.7253985426855,2560.7249634685295,2560.7249634685295,1409.324660963541,1.0171828039722615,1.0171828039722615,1.816987266594617
FF part 1upE,room_20,room_19,2119.727677174387,2081.068109219037,2081.068109219037,1099.0279796256327,1.0185767913044699,1.0185767913044699,1.8935533469565728
FF part 1upE,room_21,exit_door_1,1014.7723219036538,951.7401153701778,951.7401153701778,624.6721139926129,1.0662283805374324,1.0662283805374324,1.5235834833207116
FF part 1upE,room_21,exit_door_2,2631.346410875031,2590.6904755831233,2590.6904755831233,1730.3000462347563,1.0156930886476343,1.0156930886476343,1.4972492668081652
FF part 1upE,room_21,room_16,2543.1118968845085,,,986.6635698149598,,,
FF part 1upE,room_22,exit_door_1,2808.011228107241,2747.0924958366763,2747.0924958366763,1662.5393228432222,1.022175712089378,1.022175712089378,1.6523473809561904
FF part 1upE,room_22,exit_door_2,825.7628071395319,774.568542494924,774.568542494924,420.55677381300137,1.0660939114306252,1.0660939114306252,1.841769270465567
FF part 1upE,room_22,room_24,1923.8201829486452,1871.0681092190364,1871.0681092190364,1103.2230055614323,1.0281935614581272,1.0281935614581272,1.696001714781905
FF part 1upE,room_22,room_6,843.0773962639773,791.1269837220832,791.1269837220832,630.5522381214739,1.0656663387936518,1.0656663387936518,1.254657323997437
FF part 1upE,room_23,exit_door_1,2777.500844559319,,,1350.5534050899282,,,
FF part 1upE,room_23,exit_door_2,1200.56191986546,,,726.681842349181,,,
FF part 1upE,room_24,exit_door_1,1137.6083187609736,1084.9604614807104,1084.9604614807104,832.4722217587804,1.048525139071346,1.048525139071346,1.3032992971086688
FF part 1upE,room_24,exit_door_2,2504.4767802475794,2445.1513703397227,2445.1513703397227,1434.7867437358068,1.024262469239119,1.024262469239119,1.704191498154766
