from,to,dist_normal,dist_accessible,ratio
1_room_15,2_room_21,1683.3821920436424,4467.631425096053,2.653961439185896
1_room_15,2_room_22,3356.606262587711,3356.606262587711,1.0
1_room_15,2_room_23,3446.1107146993095,3488.9385915144107,1.0124278876567778
1_room_15,2_room_28,1972.0749820990989,4226.618587666738,2.1432342208245436
1_room_15,2_room_30,2349.8083420774765,3827.7834051501914,1.6289768559447833
1_room_15,2_room_32,2570.8299227308935,3608.8049858036084,1.403750965357566
1_room_15,2_room_33,3349.5796142611744,3415.8389485813514,1.0197813880995905
1_room_16,2_room_11,3689.078263451621,4043.3099251556505,1.09602172586401
1_room_16,2_room_18,3441.3662681522096,3795.5979298562393,1.102933438088887
1_room_16,2_room_2,3598.3930380891543,4406.186966857981,1.224487408745596
1_room_16,2_room_22,1551.3686643517435,2600.158767282931,1.6760418248936566
1_room_16,2_room_23,1926.1677770776719,2732.4910962096305,1.418615308971314
1_room_16,2_room_26,1662.004270033084,2510.7943729642707,1.5107027209468546
1_room_16,2_room_33,1987.1698928403055,2659.391453276571,1.3382808701250222
1_room_16,2_room_8,3636.171112248101,4205.861904073353,1.1566732626818088
1_room_17,2_room_1,1469.964283493759,5355.748110994819,3.6434545867097308
1_room_17,2_room_11,1438.43936124177,4712.394221778952,3.2760464909072393
1_room_17,2_room_18,1680.4329934271311,4464.682226479541,2.6568641796148738
1_room_17,2_room_27,3061.9133575684123,3061.9133575684123,1.0
1_room_17,2_room_28,2035.0061559328494,4139.255388985259,2.0340259791930797
1_room_17,2_room_30,2412.7395159112266,3740.4202064687124,1.5502793326017446
1_room_17,2_room_33,3328.4757498998724,3328.4757498998724,1.0
1_room_17,2_room_4,1194.770608959332,4972.15692700159,4.1615996323615905
1_room_17,2_room_7,1226.4743261306828,4900.429186667864,3.995541596152185
1_room_18,2_room_34,2091.66339487639,4066.2070004440293,1.9440063876455262
1_room_19,2_room_10,3350.3527057951796,3670.3378701356605,1.0955079039251585
1_room_19,2_room_23,1821.1202984524346,2286.022261347081,1.255283499552289
1_room_19,2_room_27,1678.9914793886865,1946.3602260825637,1.1592436590513402
1_room_19,2_room_33,1882.1224142150681,2212.9226184140216,1.1757591332532493
1_room_19,2_room_5,1572.2005367091763,2824.8830476287035,1.7967701840005457
1_room_2,2_room_1,1036.3829661935213,5950.5643031533855,5.741665482026314
1_room_2,2_room_11,1004.8580439415323,5307.210413937518,5.281552400297368
1_room_2,2_room_14,1126.10645060831,5188.458820604295,4.607431933101482
1_room_2,2_room_21,1312.7320485771554,4975.08441857314,3.789870464399446
1_room_2,2_room_26,3016.606560462084,3774.694861746138,1.2513049965547811
1_room_2,2_room_7,792.8930088304452,5495.24537882643,6.930626601099911
1_room_20,2_room_12,1584.028740893959,4558.572346461598,2.877834365485649
1_room_20,2_room_15,1706.4668071960677,4441.010412763706,2.602459300137707
1_room_20,2_room_16,3330.331255754897,3684.5629174589276,1.1063652935700943
1_room_20,2_room_19,3225.28377712966,3238.09408259638,1.0039718382480194
1_room_20,2_room_20,1892.2957512741011,4226.83935684174,2.233709690462375
1_room_20,2_room_26,3053.0708123470836,3053.0708123470836,1.0
1_room_20,2_room_27,2935.105500327924,2935.105500327924,1.0
1_room_20,2_room_32,2756.658866808927,3394.633929881641,1.2314305446909453
1_room_20,2_room_34,2180.6283824790776,3955.1719880467163,1.8137762581766566
1_room_20,2_room_7,1349.3720963749654,4773.621329427376,3.5376612146134634
1_room_21,2_room_11,1538.252516333627,4612.20737687081,2.9983421628744353
1_room_21,2_room_29,2334.0987246543873,4066.6322289542595,1.7422708756916057
1_room_21,2_room_30,2512.5526710030845,3640.2333615605703,1.4488187266964965
1_room_21,2_room_31,2615.0114326245275,3542.6921231820133,1.354752059200915
1_room_21,2_room_4,1294.583764051189,4871.970082093448,3.763348666483666
1_room_22,2_room_14,3382.4306210292443,3382.4306210292443,1.0
1_room_22,2_room_21,3169.0562189980897,3169.0562189980897,1.0
1_room_22,2_room_28,2928.043381568774,2928.043381568774,1.0
1_room_22,2_room_5,1676.54166077854,2729.2241716980666,1.627889264875583
1_room_23,2_room_14,3422.2294456560694,3514.7629499559425,1.0270389539244158
1_room_23,2_room_30,2661.5405279789256,2661.5405279789256,1.0
1_room_23,2_room_6,1822.971658461915,2788.3345718398245,1.5295545374481627
1_room_24,2_room_12,1683.780122598853,4458.3237281664915,2.6478063663593034
